date,income,count
2024-01-01,21960.0,3343
2024-01-02,7938.0,1686
2024-01-03,7475.0,1522
2024-01-04,8325.0,1628
2024-01-05,9150.0,1834
2024-01-06,16881.0,2819
2024-01-07,18674.0,3132
2024-01-08,7875.0,1616
2024-01-09,8589.0,1721
2024-01-10,8384.0,1719
2024-01-11,7706.0,1624
2024-01-12,9114.0,1935
2024-01-13,16449.0,2864
2024-01-14,19127.0,3158
2024-01-15,8202.0,1801
2024-01-16,8033.0,1719
2024-01-17,7443.0,1605
2024-01-18,7935.0,1710
2024-01-19,8231.0,1802
2024-01-20,15882.0,2816
2024-01-21,18234.0,3132
2024-01-22,8061.0,1735
2024-01-23,8043.0,1774
2024-01-24,8512.0,1839
2024-01-25,8699.0,1852
2024-01-26,8433.0,1881
2024-01-27,16944.0,3051
2024-01-28,18441.0,3266
2024-01-29,8247.0,1814
2024-01-30,7869.0,1804
2024-01-31,7604.0,1659
2024-02-01,10041.0,2193
2024-02-02,11229.0,2481
2024-02-03,18648.0,3579
2024-02-04,13769.0,2888
2024-02-05,13583.0,2989
2024-02-06,15537.0,3412
2024-02-07,18066.0,4127
2024-02-08,18135.0,4448
2024-02-09,3063.0,1219
2024-02-10,17166.0,2550
2024-02-11,18864.0,2811
2024-02-12,19566.0,2858
2024-02-13,21516.0,3111
2024-02-14,24996.0,3521
2024-02-15,22566.0,3315
2024-02-16,23957.0,3521
2024-02-17,21206.0,3313
2024-02-18,13293.0,2377
2024-02-19,9519.0,1797
2024-02-20,9995.0,2007
2024-02-21,10674.0,2080
2024-02-22,10851.0,2129
2024-02-23,11779.0,2362
2024-02-24,19188.0,3348
2024-02-25,18080.0,3083
2024-02-26,9009.0,1882
2024-02-27,9179.0,1887
2024-02-28,9792.0,1908
2024-02-29,9795.0,2063
2024-03-01,9600.0,1961
2024-03-02,19128.0,3229
2024-03-03,18569.0,3341
2024-03-04,6792.0,1561
2024-03-05,6936.0,1573
2024-03-06,6522.0,1485
2024-03-07,7164.0,1608
2024-03-08,15884.0,2789
2024-03-09,17892.0,3026
2024-03-10,18549.0,3244
2024-03-11,6978.0,1646
2024-03-12,6563.0,1471
2024-03-13,6923.0,1501
2024-03-14,6548.0,1452
2024-03-15,7602.0,1664
2024-03-16,18096.0,3084
2024-03-17,19228.0,3325
2024-03-18,6894.0,1536
2024-03-19,6243.0,1436
2024-03-20,6429.0,1449
2024-03-21,6314.0,1423
2024-03-22,7911.0,1737
2024-03-23,16182.0,2883
2024-03-24,19062.0,3176
2024-03-25,6906.0,1514
2024-03-26,6417.0,1430
2024-03-27,6846.0,1512
2024-03-28,6444.0,1489
2024-03-29,9174.0,1872
2024-03-30,18221.0,3033
2024-03-31,18128.0,2985
2024-04-01,6936.0,1515
2024-04-02,6513.0,1457
2024-04-03,9120.0,1905
2024-04-04,20624.0,3144
2024-04-05,17904.0,2821
2024-04-06,15924.0,2682
2024-04-07,6381.0,1439
2024-04-08,6597.0,1476
2024-04-09,6336.0,1402
2024-04-10,6585.0,1476
2024-04-11,6267.0,1395
2024-04-12,7632.0,1644
2024-04-13,15177.0,2695
2024-04-14,14520.0,2644
2024-04-15,6615.0,1511
2024-04-16,6162.0,1395
2024-04-17,5634.0,1330
2024-04-18,6183.0,1341
2024-04-19,7521.0,1600
2024-04-20,14445.0,2627
2024-04-21,13532.0,2557
2024-04-22,5535.0,1321
2024-04-23,6165.0,1442
2024-04-24,6203.0,1407
2024-04-25,6345.0,1447
2024-04-26,6960.0,1549
2024-04-27,16323.0,2787
2024-04-28,10175.0,2007
2024-04-29,8642.0,1913
2024-04-30,10314.0,2259
2024-05-01,19196.0,3087
2024-05-02,19077.0,2952
2024-05-03,17663.0,2763
2024-05-04,16350.0,2629
2024-05-05,17712.0,2944
2024-05-06,7281.0,1532
2024-05-07,6402.0,1454
2024-05-08,6567.0,1414
2024-05-09,6351.0,1393
2024-05-10,7308.0,1583
2024-05-11,9962.0,1995
2024-05-12,19821.0,3291
2024-05-13,6108.0,1423
2024-05-14,6504.0,1465
2024-05-15,6591.0,1459
2024-05-16,6123.0,1384
2024-05-17,7173.0,1578
2024-05-18,15219.0,2659
2024-05-19,22056.0,3683
2024-05-20,10299.0,1991
2024-05-21,7206.0,1594
2024-05-22,6386.0,1360
2024-05-23,7734.0,1697
2024-05-24,8361.0,1789
2024-05-25,16499.0,2998
2024-05-26,19149.0,3292
2024-05-27,6867.0,1459
2024-05-28,7077.0,1510
2024-05-29,6399.0,1403
2024-05-30,7344.0,1672
2024-05-31,9897.0,2025
2024-06-01,26268.0,3703
2024-06-02,18471.0,3141
2024-06-03,6458.0,1504
2024-06-04,5939.0,1455
2024-06-05,6534.0,1524
2024-06-06,6987.0,1655
2024-06-07,8865.0,2024
2024-06-08,16489.0,2973
2024-06-09,16356.0,2891
2024-06-10,19355.0,3276
2024-06-11,5850.0,1386
2024-06-12,6579.0,1510
2024-06-13,6677.0,1550
2024-06-14,8426.0,1837
2024-06-15,16029.0,2831
2024-06-16,18954.0,3217
2024-06-17,6831.0,1551
2024-06-18,7344.0,1678
2024-06-19,6828.0,1538
2024-06-20,6785.0,1544
2024-06-21,7868.0,1688
2024-06-22,16871.0,2928
2024-06-23,18384.0,3076
2024-06-24,6900.0,1512
2024-06-25,6846.0,1533
